"participant","trial_no","group","time","recalled","word","recall_acc","recall_rt","study_pos","test_pos","image","item_type","id"
"563f8474cbd4c6000fdc928b",7,"older",1,"LETTER","LETTER",TRUE,9.995765,3,1,"mirror","match",1431
"563f8474cbd4c6000fdc928b",7,"older",2,"ARTIST","ARTIST",TRUE,9.998025,1,2,"calendar","mis-match",1431
"563f8474cbd4c6000fdc928b",7,"older",3,"DUDE","TEAR",FALSE,9.99211,2,3,"hanger","old-new",1431
"563f8474cbd4c6000fdc928b",7,"older",4,"SYSTEM","SYSTEM",TRUE,10.001295,0,4,"sun","new-new",1431
"563f8474cbd4c6000fdc928b",8,"older",1,"BELT","BELT",TRUE,9.99676,3,1,"wheelbarrow","new-new",1432
"563f8474cbd4c6000fdc928b",8,"older",2,"POLICY","POLICY",TRUE,9.992645,0,2,"pepper","mis-match",1432
"563f8474cbd4c6000fdc928b",8,"older",3,"JUNGLE","JUNGLE",TRUE,9.996385,1,3,"planet","old-new",1432
"563f8474cbd4c6000fdc928b",8,"older",4,"BATH","BATH",TRUE,10.000985,2,4,"spoon","match",1432
"563f8474cbd4c6000fdc928b",9,"older",1,"CARS","CARS",TRUE,10.00048,2,1,"tray","new-new",1433
"563f8474cbd4c6000fdc928b",9,"older",2,"?","LOTS",FALSE,9.99328,3,2,"backpack","new-new",1433
"563f8474cbd4c6000fdc928b",9,"older",3,"FLESH","FLESH",TRUE,10.00059,1,3,"windmill","new-new",1433
"563f8474cbd4c6000fdc928b",9,"older",4,"DOZEN","DOZEN",TRUE,9.99381,0,4,"gorilla","new-new",1433
"563f8474cbd4c6000fdc928b",10,"older",1,"SHOTS","SHOTS",TRUE,10.00063,2,1,"cart","new-new",1434
"563f8474cbd4c6000fdc928b",10,"older",2,"LEADER","LEADER",TRUE,9.99466,0,2,"sunflower","new-new",1434
"563f8474cbd4c6000fdc928b",10,"older",3,"LIFE","LIFE",TRUE,9.997815,3,3,"pawn","new-new",1434
"563f8474cbd4c6000fdc928b",10,"older",4,"DEATH","DEATH",TRUE,9.99238,1,4,"aeroplane","new-new",1434
"563f8474cbd4c6000fdc928b",11,"older",1,"RECORD","RECORD",TRUE,10.00036,1,1,"razor","new-new",1435
"563f8474cbd4c6000fdc928b",11,"older",2,"NIGHT","NIGHT",TRUE,9.99852,3,2,"bench","new-new",1435
"563f8474cbd4c6000fdc928b",11,"older",3,"FAMILY","FAMILY",TRUE,9.99219,2,3,"ring","new-new",1435
"563f8474cbd4c6000fdc928b",11,"older",4,"PILLS","PILLS",TRUE,9.996985,0,4,"skateboard","new-new",1435
"563f8474cbd4c6000fdc928b",12,"older",1,"DANGER","FRIEND",FALSE,10.000275,3,1,"balcony","new-new",1436
"563f8474cbd4c6000fdc928b",12,"older",2,"DANGER","DANGER",TRUE,9.99823,0,2,"crown","new-new",1436
"563f8474cbd4c6000fdc928b",12,"older",3,"FRIEND","GODS",FALSE,9.998065,2,3,"perfume","new-new",1436
"563f8474cbd4c6000fdc928b",12,"older",4,"VALLEY","VALLEY",TRUE,9.998175,1,4,"basket","new-new",1436
"563f8474cbd4c6000fdc928b",13,"older",1,"IDEAS","PLENTY",FALSE,10.00174,1,1,"salt","mis-match",1437
"563f8474cbd4c6000fdc928b",13,"older",2,"HONEY","HONEY",TRUE,9.992205,0,2,"kettle","old-new",1437
"563f8474cbd4c6000fdc928b",13,"older",3,"STYLE","STYLE",TRUE,9.99665,3,3,"suitcase","match",1437
"563f8474cbd4c6000fdc928b",13,"older",4,"?","CLOCK",FALSE,9.996545,2,4,"pear","new-new",1437
"563f8474cbd4c6000fdc928b",14,"older",1,"NATION","ESTATE",FALSE,9.997275,0,1,"map","new-new",1438
"563f8474cbd4c6000fdc928b",14,"older",2,"CASINO","CASINO",TRUE,9.997545,2,2,"helmet","match",1438
"563f8474cbd4c6000fdc928b",14,"older",3,"GIRL","GIRL",TRUE,10.001085,3,3,"pencil","old-new",1438
"563f8474cbd4c6000fdc928b",14,"older",4,"TOILET","PHOTO",FALSE,9.98489,1,4,"cathedral","mis-match",1438
"563f8474cbd4c6000fdc928b",15,"older",1,"FLIGHT","FLIGHT",TRUE,10.000005,0,1,"wheel","new-new",1439
"563f8474cbd4c6000fdc928b",15,"older",2,"FEET","FEET",TRUE,9.99785,2,2,"runner","new-new",1439
"563f8474cbd4c6000fdc928b",15,"older",3,"CLIENT","CLIENT",TRUE,9.998415,3,3,"watch","new-new",1439
"563f8474cbd4c6000fdc928b",15,"older",4,"CANDY","CANDY",TRUE,9.99225,1,4,"tractor","new-new",1439
"563f8474cbd4c6000fdc928b",16,"older",1,"AGENT","MILLER",FALSE,9.99584,3,1,"bolt","new-new",1440
"563f8474cbd4c6000fdc928b",16,"older",2,"SALE","SALE",TRUE,10.00179,1,2,"diamond","new-new",1440
"563f8474cbd4c6000fdc928b",16,"older",3,"SERIES","SERIES",TRUE,9.997555,0,3,"tyre","new-new",1440
"563f8474cbd4c6000fdc928b",16,"older",4,"?","AGENT",FALSE,10.00037,2,4,"goose","new-new",1440
"56a8a39f7f2472000c9382f6",1,"older",1,"?","MOMENT",FALSE,5.79493,3,1,"aeroplane","new-new",1441
"56a8a39f7f2472000c9382f6",1,"older",2,"MILLER","MILLER",TRUE,7.510805,2,2,"sunflower","new-new",1441
"56a8a39f7f2472000c9382f6",1,"older",3,"FOOD","FOOD",TRUE,3.81194,0,3,"cathedral","new-new",1441
"56a8a39f7f2472000c9382f6",1,"older",4,"LETTER","LETTER",TRUE,4.430185,1,4,"hanger","new-new",1441
"56a8a39f7f2472000c9382f6",2,"older",1,"?","BELT",FALSE,4.06186,1,1,"wheelbarrow","old-new",1442
"56a8a39f7f2472000c9382f6",2,"older",2,"?","ADVICE",FALSE,2.33074,2,2,"stamp","mis-match",1442
"56a8a39f7f2472000c9382f6",2,"older",3,"?","LOTS",FALSE,1.847605,0,3,"microphone","match",1442
"56a8a39f7f2472000c9382f6",2,"older",4,"TEAR","TEAR",TRUE,4.12266,3,4,"calendar","new-new",1442
"56a8a39f7f2472000c9382f6",3,"older",1,"?","JUNGLE",FALSE,4.167505,1,1,"anchor","match",1443
"56a8a39f7f2472000c9382f6",3,"older",2,"FRIEND","FRIEND",TRUE,6.228505,3,2,"taxi","old-new",1443
"56a8a39f7f2472000c9382f6",3,"older",3,"?","THING",FALSE,2.090935,2,3,"runner","mis-match",1443
"56a8a39f7f2472000c9382f6",3,"older",4,"DIRT","DIRT",TRUE,6.347515,0,4,"mirror","new-new",1443
"56a8a39f7f2472000c9382f6",4,"older",1,"?","SPEECH",FALSE,3.662515,3,1,"pear","new-new",1444
"56a8a39f7f2472000c9382f6",4,"older",2,"?","APPLE",FALSE,1.929745,1,2,"stool","old-new",1444
"56a8a39f7f2472000c9382f6",4,"older",3,"SAKE","SAKE",TRUE,3.23017,0,3,"ring","match",1444
"56a8a39f7f2472000c9382f6",4,"older",4,"CASINO","CASINO",TRUE,5.969315,2,4,"map","mis-match",1444
"56a8a39f7f2472000c9382f6",5,"older",1,"COPS","VALLEY",FALSE,4.16415,2,1,"megaphone","old-new",1445
"56a8a39f7f2472000c9382f6",5,"older",2,"COLOR","PHOTO",FALSE,6.011775,1,2,"spoon","mis-match",1445
"56a8a39f7f2472000c9382f6",5,"older",3,"?","COPS",FALSE,1.791055,3,3,"pencil","match",1445
"56a8a39f7f2472000c9382f6",5,"older",4,"EGGS","DOZEN",FALSE,3.697935,0,4,"basket","new-new",1445
"56a8a39f7f2472000c9382f6",6,"older",1,"SPIRIT","MILE",FALSE,5.825485,3,1,"dice","new-new",1446
"56a8a39f7f2472000c9382f6",6,"older",2,"CARS","CARS",TRUE,4.94785,0,2,"motorbike","new-new",1446
"56a8a39f7f2472000c9382f6",6,"older",3,"?","SPIRIT",FALSE,2.57307,2,3,"tractor","new-new",1446
"56a8a39f7f2472000c9382f6",6,"older",4,"BOYS","BOYS",TRUE,3.93124,1,4,"monkey","new-new",1446
"56a8a39f7f2472000c9382f6",7,"older",1,"?","RIVER",FALSE,3.5114,1,1,"backpack","mis-match",1447
"56a8a39f7f2472000c9382f6",7,"older",2,"PENNY","PENNY",TRUE,4.74664,3,2,"shovel","match",1447
"56a8a39f7f2472000c9382f6",7,"older",3,"WEAPON","WEAPON",TRUE,6.533735,2,3,"boot","new-new",1447
"56a8a39f7f2472000c9382f6",7,"older",4,"?","AREA",FALSE,1.48107,0,4,"bench","old-new",1447
