"participant","trial_no","group","time","recalled","word","recall_acc","recall_rt","study_pos","test_pos","image","item_type","id","distraction","interval","prev_assoc","ltm_intru","resp_type","tran_dist"
"56f55bc0736c79000c223b3d",13,"younger",3,"?","PHOTO",FALSE,3.912695,2,3,"spoon","mis-match",77,"no","2 s","PLENTY",0,"omission",NA
"56f55bc0736c79000c223b3d",13,"younger",4,"VALLEY","VALLEY",TRUE,1.23033,3,4,"megaphone","old-new",77,"no","2 s","TOILET",0,"correct",NA
"56f55bc0736c79000c223b3d",14,"younger",1,"THING","THING",TRUE,2.91145,3,1,"runner","mis-match",78,"no","2 s","WOMEN",0,"correct",NA
"56f55bc0736c79000c223b3d",14,"younger",2,"DIRT","DIRT",TRUE,3.230195,1,2,"mirror","new-new",78,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",14,"younger",3,"FRIEND","FRIEND",TRUE,2.313175,4,3,"taxi","old-new",78,"no","2 s","FAMILY",0,"correct",NA
"56f55bc0736c79000c223b3d",14,"younger",4,"JUNGLE","JUNGLE",TRUE,1.131995,2,4,"anchor","match",78,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",15,"younger",1,"MILE","MILE",TRUE,1.064395,4,1,"dice","new-new",79,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",15,"younger",2,"BOYS","CARS",FALSE,3.11387,1,2,"motorbike","new-new",79,"no","2 s",NA,NA,"within",-1
"56f55bc0736c79000c223b3d",15,"younger",3,"SPIRIT","BOYS",FALSE,1.695785,2,3,"monkey","new-new",79,"no","2 s",NA,NA,"within",-1
"56f55bc0736c79000c223b3d",15,"younger",4,"MILE","SPIRIT",FALSE,1.646995,3,4,"tractor","new-new",79,"no","2 s",NA,NA,"within",-1
"56f55bc0736c79000c223b3d",16,"younger",1,"LETTER","LETTER",TRUE,3.663,2,1,"hanger","new-new",80,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",16,"younger",2,"FOOD","FOOD",TRUE,2.08029,1,2,"cathedral","new-new",80,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",16,"younger",3,"MOMENT","MOMENT",TRUE,1.662485,4,3,"aeroplane","new-new",80,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",16,"younger",4,"FILLER","MILLER",FALSE,3.629755,3,4,"sunflower","new-new",80,"no","2 s",NA,NA,"extra",NA
"574ce0a57fd0ec000db73aa6",1,"older",1,"DOZEN","PHOTO",FALSE,3.57247,2,1,"spoon","mis-match",1553,"no","2 s","PLENTY",0,"within",1
"574ce0a57fd0ec000db73aa6",1,"older",2,"?","COPS",FALSE,9.993545,4,2,"pencil","match",1553,"no","2 s",NA,NA,"omission",NA
"574ce0a57fd0ec000db73aa6",1,"older",3,"DOZEN","DOZEN",TRUE,3.458675,1,3,"basket","new-new",1553,"no","2 s",NA,NA,"correct",NA
"574ce0a57fd0ec000db73aa6",1,"older",4,"VALLEY","VALLEY",TRUE,1.516905,3,4,"megaphone","old-new",1553,"no","2 s","TOILET",0,"correct",NA
"574ce0a57fd0ec000db73aa6",2,"older",1,"GIRL","GIRL",TRUE,1.80636,3,1,"tray","match",1554,"no","2 s",NA,NA,"correct",NA
"574ce0a57fd0ec000db73aa6",2,"older",2,"WOMEN","WOMEN",TRUE,2.34279,1,2,"wheel","mis-match",1554,"no","2 s","YEAR",0,"correct",NA
"574ce0a57fd0ec000db73aa6",2,"older",3,"BODY","BODY",TRUE,5.78324,4,3,"cherry","old-new",1554,"no","2 s","MONTH",0,"correct",NA
